id_tags,Title,Author,Original Price (COP),Actual Price (COP),Discount %,Units Left,Link,Number of Opinions,Extra Information,Date
52315548,Siddhartha,H. Hesse, 122.485, 79.615,35,Queda 1 unidad,https://www.buscalibre.com.co/libro-siddhartha/9788401429057/p/52315548,(0),"['Plaza & Janés', ' 1990', ' Tapa blanda', 'Usado']",2023-11-06
48439604,Siddhartha,"Hesse, Hermann", 106.430, 69.179,35,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-siddhartha/9781420947960/p/48439604,(0),"['Digireads.com', ' Tapa Blanda', 'Nuevo']",2023-11-06
46980356,Siddhartha,Hermann Hesse, 109.680, 71.292,35,Quedan 87 unidades,https://www.buscalibre.com.co/libro-siddhartha/9781613823781/p/46980356,(0),"['Simon & Brown', ' 2012', ' Tapa Blanda', 'Nuevo']",2023-11-06
3429679,Siddhartha,Hermann Hesse, 143.994, 93.596,35,Quedan 15 unidades,https://www.buscalibre.com.co/libro-siddhartha/9788499082523/p/3429679,(1),"['Debolsillo', ' 2010', ' Tapa blanda', 'Nuevo']",2023-11-06
1582526,Siddhartha (Dover Thrift Editions) (libro en Inglés),"Hesse, Hermann", 72.818, 47.331,35,Quedan 36 unidades,https://www.buscalibre.com.co/libro-siddhartha-dover-thrift-editions-libro-en-ingles/9780486406534/p/1582526,(1),"['Dover Publications', ' 1998', ' Tapa Blanda', 'Nuevo']",2023-11-06
54485622,Siddhartha Tarot (libro en Inglés),"Letizia, Bruno", 181.454, 117.945,35,Quedan 8 unidades,https://www.buscalibre.com.co/libro-siddhartha-tarot-libro-en-ingles/9780738773179/p/54485622,(0),"['Llewellyn Publications', ' Cards', 'Nuevo']",2023-11-06
1823432,Siddhartha: A new Translation (Shambhala Classics) (libro en Inglés),Hermann Hesse, 79.596, 51.737,35,Quedan 5 unidades,https://www.buscalibre.com.co/libro-siddhartha-a-new-translation-shambhala-classics-libro-en-ingles/9781590302279/p/1823432,(0),"['Shambhala', ' 2005', ' 1ª edición', ' Libro de bolsillo', 'Nuevo']",2023-11-06
25960899,Siddhartha,"hesse, hermann", 106.337, 69.119,35,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-siddhartha/9781603865142/p/25960899,(0),"['watchmaker publishing', ' 2013', 'Nuevo']",2023-11-06
2644008,siddhartha,hermann hesse, 88.602, 57.592,35,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-siddhartha/9781607960171/p/2644008,(0),"['lightning source inc', 'Nuevo']",2023-11-06
48059601,Siddhartha,"Olesch, Gunther ; Dreher, Anke ; Coulter, Amy", 85.445, 55.540,35,Quedan 89 unidades,https://www.buscalibre.com.co/libro-siddhartha/9781501050831/p/48059601,(0),"['Createspace Independent Publishing Platform', ' Tapa Blanda', 'Nuevo']",2023-11-06
47349828,Pachamama Salvemos La Tierra: Escrito Desde El Corazon,Siddartha, 148.040, 96.226,35,Queda 1 unidad,https://www.buscalibre.com.co/libro-pachamama-salvemos-la-tierra-escrito-desde-el-corazon/9788416316359/p/47349828,(0),"['Mandala Ediciones', ' Tapa blanda', 'Nuevo']",2023-11-06
51075789,Siddhartha (libro en inglés),Hermann Hesse, 93.895, 61.032,35,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-siddhartha-libro-en-ingles/9781724472076/p/51075789,(0),"['Createspace', ' 2018', ' Tapa blanda', 'Nuevo']",2023-11-06
52295204,Siddartha (libro en Inglés),"Hesse, Herman", 149.606, 97.244,35,Quedan 93 unidades,https://www.buscalibre.com.co/libro-siddartha-libro-en-ingles/9781714097722/p/52295204,(0),"['Blurb', ' 2019', ' Tapa Blanda', 'Nuevo']",2023-11-06
48586098,Siddhartha,"Hesse, Hermann", 195.660, 127.179,35,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-siddhartha/9781613827697/p/48586098,(0),"['Simon & Brown', ' Tapa Dura', 'Nuevo']",2023-11-06
48500046,The Gene: An Intimate History (libro en Inglés),Siddhartha Mukherjee, 149.235, 97.002,35,Queda 1 unidad,https://www.buscalibre.com.co/libro-the-gene-an-intimate-history-libro-en-ingles/9781476733524/p/48500046,(0),"['Scribner Book Company', ' 2017', ' Tapa Blanda', 'Nuevo']",2023-11-06
4712186,Siddhartha (libro en Inglés),Hermann Hesse, 125.000, 81.250,35,Quedan 92 unidades,https://www.buscalibre.com.co/libro-siddhartha-libro-en-ingles/9781936041060/p/4712186,(0),"['Simon & Brown', ' 2011', ' Tapa Blanda', 'Nuevo']",2023-11-06
1525205,siddhartha,"Hesse, Hermann ; Rosner, Hilda", 106.059, 68.938,35,Quedan 6 unidades,https://www.buscalibre.com.co/libro-siddhartha/9780811200684/p/1525205,(0),"['New Directions Publishing Corporation', ' Tapa Blanda', 'Nuevo']",2023-11-06
4528299,seleccion: demiam; el ultimo verano de klingsor; siddhartha; el lobo estepario; relatos,hermann hesse, 112.433, 73.082,35,Quedan 39 unidades,https://www.buscalibre.com.co/libro-seleccion-demiam-el-ultimo-verano-de-klingsor-siddhartha-el-lobo-estepario-relatos/9786074151268/p/4528299,(1),"['grupo editorial tomo', ' 2009', ' Tapa Blanda', 'Nuevo']",2023-11-06
49917508,Siddhartha,Hermann Hesse, 113.858, 74.008,35,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-siddhartha/9780997380613/p/49917508,(0),"['Wayward Park Publishing', ' Tapa blanda', 'Nuevo']",2023-11-06
48388551,Siddhartha (libro en Inglés),Hermann Hesse, 195.660, 127.179,35,Quedan 52 unidades,https://www.buscalibre.com.co/libro-siddhartha-libro-en-ingles/9781613827734/p/48388551,(0),"['Simon & Brown', ' 2016', ' Tapa Dura', 'Nuevo']",2023-11-06
55014251,Libro Siddhartha,Hermann Hesse, 72.932, 47.406,35,Quedan 91 unidades,https://www.buscalibre.com.co/libro-libro-siddhartha/9789875523081/p/55014251,(0),"['', ' Tapa Blanda', 'Nuevo']",2023-11-06
25527917,Siddhartha,"Hesse, Hermann", 95.195, 61.877,35,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-siddhartha/9781936594153/p/25527917,(0),"['Tribeca Books', ' 2010', ' Tapa Blanda', 'Nuevo']",2023-11-06
53644748,Siddhartha (libro en Inglés),"Hesse, Hermann", 88.788, 57.712,35,Quedan 82 unidades,https://www.buscalibre.com.co/libro-siddhartha-libro-en-ingles/9781511828185/p/53644748,(0),"['Createspace Independent Publishing Platform', ' 2015', ' Tapa Blanda', 'Nuevo']",2023-11-06
