Title,Author,Original Price (COP),Actual Price (COP),Discount %,Units Left,Link,Number of Opinions,Extra Information,Date
Siddhartha (Penguin Modern Classics) (libro en Inglés),Hermann Hesse, 160.869, 80.434,50,Quedan 100 unidades,https://www.buscalibre.com.co/libro-siddhartha-penguin-modern-classics-libro-en-ingles/9780141189574/p/47030303,(0),"['Penguin Classics', ' 2008', ' Noª edición', ' Tapa blanda', 'Nuevo']",2023-10-21
In the Beginning and the End,Siddartha Beth Pierce, 153.394, 76.697,50,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-in-the-beginning-and-the-end/9781499501254/p/48780198,(0),"['Createspace', ' Tapa Blanda', 'Nuevo']",2023-10-21
Siddhartha (libro en Inglés),Hermann Hesse, 133.402, 66.701,50,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-siddhartha-libro-en-ingles/9781613822029/p/4957875,(0),"['Simon & Brown', ' Tapa Blanda', 'Nuevo']",2023-10-21
Siddhartha (libro en Inglés),"Hesse, Hermann", 88.729, 44.364,50,Quedan 82 unidades,https://www.buscalibre.com.co/libro-siddhartha-libro-en-ingles/9781511828185/p/53644748,(0),"['Createspace Independent Publishing Platform', ' 2015', ' Tapa Blanda', 'Nuevo']",2023-10-21
Siddhartha (libro en Inglés),"Hesse, Hermann ; Hische, Jessica ; Neugroschel, Joachim", 174.917, 87.459,50,Quedan 5 unidades,https://www.buscalibre.com.co/libro-siddhartha-libro-en-ingles/9780143124337/p/18694357,(0),"['Penguin Books', ' 2013', ' Tapa Dura', 'Nuevo']",2023-10-21
Siddhartha,"hesse, hermann", 141.320, 70.660,50,Queda 1 unidad,https://www.buscalibre.com.co/libro-siddhartha/9782253008484/p/25805450,(0),"['livre de poche', ' 2002', 'Usado']",2023-10-21
siddhartha,"Hesse, Hermann ; Rosner, Hilda", 106.521, 53.261,50,Quedan 15 unidades,https://www.buscalibre.com.co/libro-siddhartha/9780811200684/p/1525205,(0),"['New Directions Publishing Corporation', ' Tapa Blanda', 'Nuevo']",2023-10-21
topology and geometry for physicists,"Nash, Charles ; Sen, Siddhartha", 139.811, 69.905,50,Quedan 2 unidades,https://www.buscalibre.com.co/libro-topology-and-geometry-for-physicists/9780486478524/p/4347255,(0),"['Dover Publications', ' 2011', ' Tapa Blanda', 'Nuevo']",2023-10-21
Siddhartha: (Starbooks Classics Editions),"Olesch, Gunther ; Dreher, Anke ; Coulter, Amy", 95.903, 47.952,50,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-siddhartha-starbooks-classics-editions/9781499167474/p/48444376,(0),"['Createspace Independent Publishing Platform', ' Tapa Blanda', 'Nuevo']",2023-10-21
The Gene: An Intimate History (libro en Inglés),Siddhartha Mukherjee, 182.231, 91.116,50,Quedan 30 unidades,https://www.buscalibre.com.co/libro-the-gene-an-intimate-history-libro-en-ingles/9780099584575/p/49257869,(0),"['Random House Uk', ' 2017', ' 1ª edición', ' Tapa blanda', 'Nuevo']",2023-10-21
Siddhartha,"Hesse, Hermann", 118.547, 59.273,50,Queda 1 unidad,https://www.buscalibre.com.co/libro-siddhartha/9788447309801/p/54979458,(0),"['Rba.', '', ' Tapa Dura', 'Usado']",2023-10-21
Tráfico Sexual: El Negocio de la Esclavitud Moderna (Alianza Ensayo),Siddarth Kara, 237.753, 118.877,50,Quedan 15 unidades,https://www.buscalibre.com.co/libro-trafico-sexual-el-negocio-de-la-esclavitud-moderna-alianza-ensayo/9788420669694/p/3395722,(0),"['Alianza Editorial', ' 2010', ' 1ª edición', ' Tapa blanda', 'Nuevo']",2023-10-21
Siddhartha,, 146.560, 73.280,50,Queda 1 unidad,https://www.buscalibre.com.co/libro-siddhartha/9788489693760/p/55056054,(0),"['Editorial Optima', ' Tapa Blanda', 'Usado']",2023-10-21
Siddhartha: En Busca de la Verdad (Spanish Edition),Hermann Hesse, 101.164, 50.582,50,Quedan 54 unidades,https://www.buscalibre.com.co/libro-siddhartha-en-busca-de-la-verdad-spanish-edition/9789650060183/p/3003364,(0),"['Www.Bnpublishing.Com', ' 2008', ' N/Aª edición', ' Tapa blanda', 'Nuevo']",2023-10-21
siddhartha,hermann hesse, 103.365, 51.682,50,Quedan 85 unidades,https://www.buscalibre.com.co/libro-siddhartha/9781936594368/p/4698807,(0),"['tribeca books', 'Nuevo']",2023-10-21
Siddhartha (libro en inglés),Hermann Hesse, 102.791, 51.395,50,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-siddhartha-libro-en-ingles/9781453833131/p/51060495,(0),"['Createspace', ' 2010', ' Tapa blanda', 'Nuevo']",2023-10-21
Siddhartha (Signature Classics) (libro en Inglés),"Hesse, Hermann", 97.338, 48.669,50,Quedan 3 unidades,https://www.buscalibre.com.co/libro-siddhartha-signature-classics-libro-en-ingles/9781435172265/p/54486379,(0),"['Union Square & Co.', ' Tapa Blanda', 'Nuevo']",2023-10-21
Siddhartha (libro en Inglés),Hermann Hesse, 109.295, 54.648,50,Quedan 96 unidades,https://www.buscalibre.com.co/libro-siddhartha-libro-en-ingles/9781420951486/p/53904594,(0),"['Revival Waves Of Glory Ministr', ' 2015', ' Tapa blanda', 'Nuevo']",2023-10-21
Siddhartha,"hesse, hermann", 133.402, 66.701,50,Quedan 91 unidades,https://www.buscalibre.com.co/libro-siddhartha/9781613822012/p/8935494,(0),"['simon & brown', 'Nuevo']",2023-10-21
Siddhartha (libro en Inglés),Hermann Hesse, 104.608, 52.304,50,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-siddhartha-libro-en-ingles/9781441407870/p/25525526,(0),"['Createspace', ' 2010', ' Tapa Blanda', 'Nuevo']",2023-10-21
Siddhartha: Philosophical Novel (libro en Inglés),Hermann Hesse, 81.937, 40.969,50,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-siddhartha-philosophical-novel-libro-en-ingles/9788027309481/p/53802461,(0),"['', ' 2020', ' Tapa blanda', 'Nuevo']",2023-10-21
Siddhartha (libro en Inglés),Herman Hesse, 136.367, 68.183,50,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-siddhartha-libro-en-ingles/9781989631959/p/53031668,(0),"['Public Park Publishing', ' 2020', ' Tapa blanda', 'Nuevo']",2023-10-21
Siddhartha (Libro en Inglés),"Hesse, Hermann", 109.295, 54.648,50,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-siddhartha-libro-en-ingles/9781940177748/p/54853266,(0),"['Blackrock Classics', ' Tapa Blanda', 'Nuevo']",2023-10-21
Siddhartha (Shambhala Classics) (libro en Inglés),Hermann Hesse, 107.669, 53.835,50,Quedan 5 unidades,https://www.buscalibre.com.co/libro-siddhartha-shambhala-classics-libro-en-ingles/9781570627217/p/1602260,(0),"['Shambhala', ' 2000', ' Tapa blanda', 'Nuevo']",2023-10-21
Sidhartha,Hermann Hesse, 133.662, 66.831,50,Queda 1 unidad,https://www.buscalibre.com.co/libro-sidhartha/9788435008525/p/55069057,(0),"['Edhasa', ' Tapa Blanda', 'Usado']",2023-10-21
The Laws of Medicine: Field Notes from an Uncertain Science (TED Books),Siddhartha Mukherjee, 126.992, 63.496,50,Queda 1 unidad,https://www.buscalibre.com.co/libro-the-laws-of-medicine-field-notes-from-an-uncertain-science-ted-books/9781476784847/p/48453969,(0),"['Simon & Schuster/ TED', ' Tapa Dura', 'Nuevo']",2023-10-21
siddhartha,hermann hesse, 104.608, 52.304,50,Quedan 83 unidades,https://www.buscalibre.com.co/libro-siddhartha/9781441407825/p/4355042,(0),"['createspace', ' 2010', 'Nuevo']",2023-10-21
Siddhartha (Libro en Inglés),"Hesse, Hermann", 109.295, 54.648,50,Quedan 79 unidades,https://www.buscalibre.com.co/libro-siddhartha-libro-en-ingles/9781940177137/p/54853279,(0),"['Blackrock Classics', ' Tapa Blanda', 'Nuevo']",2023-10-21
Happiness Is You,"gautam, dr siddhartha b.", 103.078, 51.539,50,Quedan 81 unidades,https://www.buscalibre.com.co/libro-happiness-is-you/9780615633435/p/18924261,(0),"['step press', ' 2012', 'Nuevo']",2023-10-21
Siddhartha,"Hesse, Hermann", 143.638, 71.819,50,Queda 1 unidad,https://www.buscalibre.com.co/libro-siddhartha/9788402074447/p/54964497,(0),"['Bruguera.', '', ' Tapa Dura', 'Usado']",2023-10-21
Siddhartha (libro en Alemán),"Hesse, Hermann", 95.999, 47.999,50,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-siddhartha-libro-en-aleman/9781492133148/p/53645999,(0),"['Createspace Independent Publishing Platform', ' 2013', ' Tapa Blanda', 'Nuevo']",2023-10-21
The Gene: An Intimate History,Siddhartha Mukherjee, 168.325, 84.163,50,Queda 1 unidad,https://www.buscalibre.com.co/libro-the-gene-an-intimate-history/9781432837815/p/48464945,(0),"['Large Print Press', ' Tapa Blanda', 'Usado']",2023-10-21
Siddhartha,Hermann Hesse, 141.320, 70.660,50,Queda 1 unidad,https://www.buscalibre.com.co/libro-siddhartha/9788401382000/p/55479110,(0),"['Plaza & Janes Editores', ' Tapa Blanda', 'Usado']",2023-10-21
"the emperor of all maladies,a biography of cancer","Mukherjee, Siddhartha", 198.832, 99.416,50,Queda 1 unidad,https://www.buscalibre.com.co/libro-the-emperor-of-all-maladies-a-biography-of-cancer/9781439107959/p/3755565,(0),"['Scribner Book Company', ' 2010', ' Tapa Dura', 'Nuevo']",2023-10-21
siddhartha,hermann hesse, 145.263, 72.632,50,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-siddhartha/9781605978857/p/2659389,(0),"['lightning source inc', 'Nuevo']",2023-10-21
Siddhartha: The Classic Novel (Essential Pocket Classics) (libro en Inglés),"Hesse, Hermann", 88.825, 44.412,50,Queda 1 unidad,https://www.buscalibre.com.co/libro-siddhartha-the-classic-novel-essential-pocket-classics-libro-en-ingles/9781250861849/p/54036223,(0),"[""St. Martin's Essentials"", ' 2022', ' Tapa Blanda', 'Nuevo']",2023-10-21
The Gene: An Intimate History,"Mukherjee, Siddhartha", 213.181, 106.590,50,Queda 1 unidad,https://www.buscalibre.com.co/libro-the-gene-an-intimate-history/9781476733500/p/48430085,(0),"['Scribner Book Company', ' Tapa Dura', 'Nuevo']",2023-10-21
Siddhartha (libro en Inglés),Herman Hesse, 137.228, 68.614,50,Quedan 89 unidades,https://www.buscalibre.com.co/libro-siddhartha-libro-en-ingles/9781421850207/p/53904457,(0),"['1st World Publishing', ' 2013', ' Tapa blanda', 'Nuevo']",2023-10-21
siddhartha,hermann hesse, 149.855, 74.927,50,Quedan 65 unidades,https://www.buscalibre.com.co/libro-siddhartha/9781438510637/p/3245786,(0),"['lightning source inc', 'Nuevo']",2023-10-21
Siddhartha (libro en Inglés),Hermann Hesse, 146.560, 73.280,50,Queda 1 unidad,https://www.buscalibre.com.co/libro-siddhartha-libro-en-ingles/9780330354851/p/54639089,(0),"['Pan Books Ltd', ' Tapa Blanda', 'Usado']",2023-10-21
siddhartha,hermann hesse, 118.383, 59.192,50,Quedan 63 unidades,https://www.buscalibre.com.co/libro-siddhartha/9781604595925/p/3513068,(0),"['wilder publications', 'Nuevo']",2023-10-21
Siddhartha,Hermann Hesse, 124.601, 62.300,50,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-siddhartha/9781481162081/p/49694823,(0),"['Createspace', ' Tapa blanda', 'Nuevo']",2023-10-21
Siddhartha,"Hesse, Hermann", 141.320, 70.660,50,Queda 1 unidad,https://www.buscalibre.com.co/libro-siddhartha/9788477398196/p/55672998,(0),"['Proa', ' Barcelona', '', ' Tapa Blanda', 'Usado']",2023-10-21
siddhartha,hermann hesse, 126.036, 63.018,50,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-siddhartha/9781936041350/p/4717614,(0),"['simon & brown', 'Nuevo']",2023-10-21
Siddhartha: An Indian Tale,"hesse, hermann", 127.471, 63.735,50,Quedan 65 unidades,https://www.buscalibre.com.co/libro-siddhartha-an-indian-tale/9781434102652/p/24427809,(0),"['editorium', ' 2009', 'Nuevo']",2023-10-21
