Countries,Type of Coffee,Crop Group,Crop Year,Total Production (x1000 60kg) bags,Domestic Consumption (x1000 60kg) bags,Gross Opening Stock (x1000 60kg) bags,Exports Crop Year in (x1000 60kg) bags
Cameroon,Robustica/Arabica,October Group,2007,795,69,40,549
Central African Republic,Robusta,October Group,2007,43,3,5,37
Colombia,Arabica,October Group,2007,12515,1281,1539,11557
Costa Rica,Arabica,October Group,2007,1797,375,100,1402
Côte d'Ivoire,Robusta,October Group,2007,1338,317,1229,1665
Democratic Republic of Congo,Robustica/Arabica,October Group,2007,416,200,0,216
El Salvador,Arabica,October Group,2007,1505,251,54,1430
Equatorial Guinea,Robusta,October Group,2007,0,0,0,0
Ethiopia,Arabica,October Group,2007,5967,2894,933,2806
Gabon,Robusta,October Group,2007,1,0,0,0
Ghana,Robusta,October Group,2007,35,2,3,36
Guatemala,Arabica/Robusta,October Group,2007,4100,300,30,3822
Guinea,Robusta,October Group,2007,323,50,4,276
Guyana,Robusta,October Group,2007,9,7,0,2
Honduras,Arabica,October Group,2007,3640,245,98,3395
India,Robustica/Arabica,October Group,2007,4367,1350,1471,3389
Jamaica,Arabica,October Group,2007,20,9,20,24
Kenya,Arabica,October Group,2007,652,50,100,627
Lao People's Democratic Republic,Robusta,October Group,2007,393,140,0,253
Liberia,Robusta,October Group,2007,7,5,0,2
Mexico,Arabica/Robusta,October Group,2007,4150,2200,725,2555
Nepal,Arabica,October Group,2007,1,0,0,2
Nicaragua,Arabica,October Group,2007,1906,192,87,1640
Nigeria,Robusta,October Group,2007,42,40,0,2
Panama,Arabica,October Group,2007,176,67,15,119
Sierra Leone,Robusta,October Group,2007,40,5,2,37
Sri Lanka,Robustica/Arabica,October Group,2007,33,30,0,3
Thailand,Robustica/Arabica,October Group,2007,650,550,11,150
Togo,Robusta,October Group,2007,125,2,20,134
Trinidad & Tobago,Robusta,October Group,2007,12,11,0,1
Uganda,Robustica/Arabica,October Group,2007,3490,180,280,3210
Venezuela,Arabica,October Group,2007,1520,1582,15,146
Viet Nam,Robustica/Arabica,October Group,2007,16405,938,833,15774
Yemen,Arabica,October Group,2007,198,130,0,68
Angola,Robustica/Arabica,April Group,2008,38,30,140,8
Bolivia (Plurinational State of),Arabica,April Group,2008,120,45,0,75
Brazil,Arabica/Robusta,April Group,2008,51491,17660,12227,30292
Burundi,Arabica/Robusta,April Group,2008,412,1,5,351
Ecuador,Arabica/Robusta,April Group,2008,771,150,6,859
Indonesia,Robustica/Arabica,April Group,2008,9612,3333,56,5667
Madagascar,Robusta,April Group,2008,728,467,0,150
Malawi,Arabica,April Group,2008,21,1,0,20
Papua New Guinea,Arabica/Robusta,April Group,2008,1028,2,76,1064
Paraguay,Arabica,April Group,2008,20,20,0,0
Peru,Arabica,April Group,2008,3872,250,201,3823
Rwanda,Arabica,April Group,2008,369,1,17,357
Timor-Leste,Arabica,April Group,2008,48,0,0,48
Zimbabwe,Arabica,April Group,2008,24,4,0,20
Congo,Robusta,July Group,2008,3,3,0,0
Cuba,Arabica,July Group,2008,133,220,12,7
Dominican Republic,Arabica/Robusta,July Group,2008,645,378,52,113
Haiti,Arabica,July Group,2008,359,340,0,19
Philippines,Robustica/Arabica,July Group,2008,587,1720,0,7
Tanzania,Arabica/Robusta,July Group,2008,1186,47,13,1116
Zambia,Arabica,July Group,2008,35,1,0,34
Cameroon,Robustica/Arabica,October Group,2008,725,69,9,540
Central African Republic,Robusta,October Group,2008,60,5,8,60
Colombia,Arabica,October Group,2008,8664,1291,1354,8716
Costa Rica,Arabica,October Group,2008,1500,268,120,1301
Côte d'Ivoire,Robusta,October Group,2008,2526,317,584,1616
Democratic Republic of Congo,Robustica/Arabica,October Group,2008,422,200,0,173
El Salvador,Arabica,October Group,2008,1450,244,15,1343
Equatorial Guinea,Robusta,October Group,2008,0,0,0,0
Ethiopia,Arabica,October Group,2008,4949,3048,1200,1868
Gabon,Robusta,October Group,2008,2,0,0,1
Ghana,Robusta,October Group,2008,26,2,0,19
Guatemala,Arabica/Robusta,October Group,2008,3785,335,8,3456
Guinea,Robusta,October Group,2008,505,50,1,361
Guyana,Robusta,October Group,2008,10,8,0,1
Honduras,Arabica,October Group,2008,3450,268,98,3021
India,Robustica/Arabica,October Group,2008,4072,1275,1553,2954
Jamaica,Arabica,October Group,2008,32,9,7,25
Kenya,Arabica,October Group,2008,541,50,75,541
Lao People's Democratic Republic,Robusta,October Group,2008,406,150,0,257
Liberia,Robusta,October Group,2008,12,5,0,7
Mexico,Arabica/Robusta,October Group,2008,4651,2200,120,2775
Nepal,Arabica,October Group,2008,1,0,0,2
Nicaragua,Arabica,October Group,2008,1445,194,204,1433
Nigeria,Robusta,October Group,2008,50,40,0,2
Panama,Arabica,October Group,2008,149,67,5,65
Sierra Leone,Robusta,October Group,2008,86,5,0,66
Sri Lanka,Robustica/Arabica,October Group,2008,31,30,0,1
Thailand,Robustica/Arabica,October Group,2008,675,600,11,184
Togo,Robusta,October Group,2008,138,2,9,142
Trinidad & Tobago,Robusta,October Group,2008,11,11,0,0
Uganda,Robustica/Arabica,October Group,2008,3335,185,380,3054
Venezuela,Arabica,October Group,2008,932,1649,7,22
Viet Nam,Robustica/Arabica,October Group,2008,18438,1021,526,17386
Yemen,Arabica,October Group,2008,220,130,0,47
Angola,Robustica/Arabica,April Group,2009,13,30,140,3
Bolivia (Plurinational State of),Arabica,April Group,2009,128,46,0,82
Brazil,Arabica/Robusta,April Group,2009,43977,18390,15766,30255
Burundi,Arabica/Robusta,April Group,2009,112,1,40,173
Ecuador,Arabica/Robusta,April Group,2009,813,150,8,1156
Indonesia,Robustica/Arabica,April Group,2009,11380,3333,668,7990
Madagascar,Robusta,April Group,2009,457,467,111,45
Malawi,Arabica,April Group,2009,17,1,0,16
Papua New Guinea,Arabica/Robusta,April Group,2009,1038,2,38,1049
Paraguay,Arabica,April Group,2009,20,20,0,0
Peru,Arabica,April Group,2009,3286,250,0,2999
Rwanda,Arabica,April Group,2009,259,1,28,267
Timor-Leste,Arabica,April Group,2009,47,0,0,47
Zimbabwe,Arabica,April Group,2009,21,4,0,17
Congo,Robusta,July Group,2009,3,3,0,0
Cuba,Arabica,July Group,2009,92,220,12,6
Dominican Republic,Arabica/Robusta,July Group,2009,352,378,206,56
Haiti,Arabica,July Group,2009,351,340,0,11
Philippines,Robustica/Arabica,July Group,2009,730,1820,0,5
Tanzania,Arabica/Robusta,July Group,2009,675,47,36,648
Zambia,Arabica,July Group,2009,28,0,0,28
Cameroon,Robustica/Arabica,October Group,2009,902,69,125,822
Central African Republic,Robusta,October Group,2009,112,8,3,88
Colombia,Arabica,October Group,2009,8098,1274,731,7196
Costa Rica,Arabica,October Group,2009,1477,295,51,1170
Côte d'Ivoire,Robusta,October Group,2009,1989,317,1178,2029
Democratic Republic of Congo,Robustica/Arabica,October Group,2009,346,200,49,163
El Salvador,Arabica,October Group,2009,1075,268,16,979
Equatorial Guinea,Robusta,October Group,2009,0,0,0,0
Ethiopia,Arabica,October Group,2009,6830,3109,1233,2904
Gabon,Robusta,October Group,2009,0,0,1,1
Ghana,Robusta,October Group,2009,19,2,5,14
Guatemala,Arabica/Robusta,October Group,2009,3835,320,2,3446
Guinea,Robusta,October Group,2009,499,50,95,462
Guyana,Robusta,October Group,2009,9,8,0,1
Honduras,Arabica,October Group,2009,3603,307,160,3161
India,Robustica/Arabica,October Group,2009,4827,1325,1889,4274
Jamaica,Arabica,October Group,2009,25,9,5,16
Kenya,Arabica,October Group,2009,630,50,25,507
Lao People's Democratic Republic,Robusta,October Group,2009,434,150,13,291
Liberia,Robusta,October Group,2009,13,5,0,8
Mexico,Arabica/Robusta,October Group,2009,4109,2200,332,2567
Nepal,Arabica,October Group,2009,1,0,0,1
Nicaragua,Arabica,October Group,2009,1871,197,63,1696
Nigeria,Robusta,October Group,2009,34,40,8,2
Panama,Arabica,October Group,2009,138,67,22,64
Sierra Leone,Robusta,October Group,2009,91,5,15,98
Sri Lanka,Robustica/Arabica,October Group,2009,32,30,0,2
Thailand,Robustica/Arabica,October Group,2009,795,700,2,289
Togo,Robusta,October Group,2009,202,2,3,202
Trinidad & Tobago,Robusta,October Group,2009,11,11,0,0
Uganda,Robustica/Arabica,October Group,2009,2894,189,476,2669
Venezuela,Arabica,October Group,2009,1214,1650,0,19
Viet Nam,Robustica/Arabica,October Group,2009,17825,1208,640,14591
Yemen,Arabica,October Group,2009,135,130,43,43
Angola,Robustica/Arabica,April Group,2010,35,30,120,5
Bolivia (Plurinational State of),Arabica,April Group,2010,117,48,0,70
Brazil,Arabica/Robusta,April Group,2010,55428,19132,11098,34054
Burundi,Arabica/Robusta,April Group,2010,353,2,7,351
Ecuador,Arabica/Robusta,April Group,2010,854,150,12,1274
Indonesia,Robustica/Arabica,April Group,2010,9129,3333,725,5648
Madagascar,Robusta,April Group,2010,530,467,56,89
Malawi,Arabica,April Group,2010,17,1,0,16
Papua New Guinea,Arabica/Robusta,April Group,2010,867,1,25,880
Paraguay,Arabica,April Group,2010,20,20,0,0
Peru,Arabica,April Group,2010,4069,250,37,3832
Rwanda,Arabica,April Group,2010,323,1,19,328
Timor-Leste,Arabica,April Group,2010,60,0,0,60
Zimbabwe,Arabica,April Group,2010,10,4,0,6
Congo,Robusta,July Group,2010,3,3,0,0
Cuba,Arabica,July Group,2010,108,220,8,6
Dominican Republic,Arabica/Robusta,July Group,2010,378,378,125,67
Haiti,Arabica,July Group,2010,350,340,0,10
Philippines,Robustica/Arabica,July Group,2010,189,2125,0,10
Tanzania,Arabica/Robusta,July Group,2010,846,47,16,795
Zambia,Arabica,July Group,2010,13,0,0,13
Cameroon,Robustica/Arabica,October Group,2010,527,68,137,569
Central African Republic,Robusta,October Group,2010,78,10,19,87
Colombia,Arabica,October Group,2010,8523,1311,999,8064
Costa Rica,Arabica,October Group,2010,1614,407,62,1209
Côte d'Ivoire,Robusta,October Group,2010,837,317,820,958
Democratic Republic of Congo,Robustica/Arabica,October Group,2010,305,200,32,132
El Salvador,Arabica,October Group,2010,1873,276,18,1904
Equatorial Guinea,Robusta,October Group,2010,0,0,0,0
Ethiopia,Arabica,October Group,2010,5560,3171,2050,3022
Gabon,Robusta,October Group,2010,2,1,1,1
Ghana,Robusta,October Group,2010,69,2,8,70
Guatemala,Arabica/Robusta,October Group,2010,3950,340,71,3654
Guinea,Robusta,October Group,2010,386,50,82,358
Guyana,Robusta,October Group,2010,9,9,0,1
Honduras,Arabica,October Group,2010,4331,335,95,3866
India,Robustica/Arabica,October Group,2010,5600,1325,1802,5594
Jamaica,Arabica,October Group,2010,21,9,5,17
Kenya,Arabica,October Group,2010,641,50,98,655
Lao People's Democratic Republic,Robusta,October Group,2010,544,150,6,400
Liberia,Robusta,October Group,2010,10,5,0,5
Mexico,Arabica/Robusta,October Group,2010,4001,2354,479,2727
Nepal,Arabica,October Group,2010,3,0,0,3
Nicaragua,Arabica,October Group,2010,1638,203,83,1536
Nigeria,Robusta,October Group,2010,42,40,0,2
Panama,Arabica,October Group,2010,114,67,29,56
Sierra Leone,Robusta,October Group,2010,33,5,3,28
Sri Lanka,Robustica/Arabica,October Group,2010,37,35,0,2
Thailand,Robustica/Arabica,October Group,2010,828,775,8,328
Togo,Robusta,October Group,2010,160,2,1,159
Trinidad & Tobago,Robusta,October Group,2010,10,10,0,0
Uganda,Robustica/Arabica,October Group,2010,3267,204,512,3150
Venezuela,Arabica,October Group,2010,1202,1650,0,2
Viet Nam,Robustica/Arabica,October Group,2010,20000,1583,2716,16850
Yemen,Arabica,October Group,2010,161,130,5,36
Angola,Robustica/Arabica,April Group,2011,29,30,120,9
Bolivia (Plurinational State of),Arabica,April Group,2011,132,49,0,83
Brazil,Arabica/Robusta,April Group,2011,48592,19720,13340,32149
Burundi,Arabica/Robusta,April Group,2011,204,2,7,202
Ecuador,Arabica/Robusta,April Group,2011,825,150,10,1553
Indonesia,Robustica/Arabica,April Group,2011,6889,3667,873,3645
Madagascar,Robusta,April Group,2011,585,450,30,135
Malawi,Arabica,April Group,2011,26,1,0,25
Papua New Guinea,Arabica/Robusta,April Group,2011,1414,1,10,1418
Paraguay,Arabica,April Group,2011,20,20,0,0
Peru,Arabica,April Group,2011,5373,250,24,5054
Rwanda,Arabica,April Group,2011,251,1,13,250
Timor-Leste,Arabica,April Group,2011,47,0,0,47
Zimbabwe,Arabica,April Group,2011,9,4,0,5
Congo,Robusta,July Group,2011,3,3,0,0
Cuba,Arabica,July Group,2011,100,220,8,13
Dominican Republic,Arabica/Robusta,July Group,2011,491,378,58,110
Haiti,Arabica,July Group,2011,349,340,0,9
Philippines,Robustica/Arabica,July Group,2011,180,2175,0,5
Tanzania,Arabica/Robusta,July Group,2011,641,59,20,567
Zambia,Arabica,July Group,2011,11,0,0,11
Cameroon,Robustica/Arabica,October Group,2011,669,70,26,579
Central African Republic,Robusta,October Group,2011,91,13,0,78
Colombia,Arabica,October Group,2011,7653,1435,993,7299
Costa Rica,Arabica,October Group,2011,1831,381,59,1384
Côte d'Ivoire,Robusta,October Group,2011,2216,317,381,1644
Democratic Republic of Congo,Robustica/Arabica,October Group,2011,357,200,5,158
El Salvador,Arabica,October Group,2011,1164,273,72,1055
Equatorial Guinea,Robusta,October Group,2011,0,0,0,0
Ethiopia,Arabica,October Group,2011,5650,3235,1417,2832
Gabon,Robusta,October Group,2011,1,1,1,0
Ghana,Robusta,October Group,2011,30,2,5,30
Guatemala,Arabica/Robusta,October Group,2011,3850,350,27,3721
Guinea,Robusta,October Group,2011,386,50,60,381
Guyana,Robusta,October Group,2011,10,9,0,2
Honduras,Arabica,October Group,2011,5882,340,164,5474
India,Robustica/Arabica,October Group,2011,5334,1325,1240,5172
Jamaica,Arabica,October Group,2011,24,9,0,15
Kenya,Arabica,October Group,2011,757,50,34,727
Lao People's Democratic Republic,Robusta,October Group,2011,514,150,0,364
Liberia,Robusta,October Group,2011,10,5,0,5
Mexico,Arabica/Robusta,October Group,2011,4561,2354,255,3392
Nepal,Arabica,October Group,2011,2,0,0,2
Nicaragua,Arabica,October Group,2011,2193,205,21,1676
Nigeria,Robusta,October Group,2011,47,40,0,7
Panama,Arabica,October Group,2011,106,67,20,49
Sierra Leone,Robusta,October Group,2011,78,5,3,74
Sri Lanka,Robustica/Arabica,October Group,2011,36,35,0,1
Thailand,Robustica/Arabica,October Group,2011,831,1100,8,329
Togo,Robusta,October Group,2011,160,0,0,151
Trinidad & Tobago,Robusta,October Group,2011,11,10,0,1
Uganda,Robustica/Arabica,October Group,2011,3115,210,425,2727
Venezuela,Arabica,October Group,2011,902,1650,0,2
Viet Nam,Robustica/Arabica,October Group,2011,26500,1650,3750,21706
Yemen,Arabica,October Group,2011,185,130,0,55
Angola,Robustica/Arabica,April Group,2012,33,30,110,8
Bolivia (Plurinational State of),Arabica,April Group,2012,105,51,0,55
Brazil,Arabica/Robusta,April Group,2012,55418,20330,10063,29283
Burundi,Arabica/Robusta,April Group,2012,406,2,7,406
Ecuador,Arabica/Robusta,April Group,2012,828,150,2,1578
Indonesia,Robustica/Arabica,April Group,2012,13070,3900,450,8970
Madagascar,Robusta,April Group,2012,500,430,30,90
Malawi,Arabica,April Group,2012,23,1,0,22
Papua New Guinea,Arabica/Robusta,April Group,2012,716,2,5,715
Paraguay,Arabica,April Group,2012,20,20,0,0
Peru,Arabica,April Group,2012,4450,250,93,3928
Rwanda,Arabica,April Group,2012,259,1,13,261
Timor-Leste,Arabica,April Group,2012,61,0,0,60
Zimbabwe,Arabica,April Group,2012,7,4,0,3
Congo,Robusta,July Group,2012,3,3,0,0
Cuba,Arabica,July Group,2012,88,220,0,15
Dominican Republic,Arabica/Robusta,July Group,2012,488,378,61,113
Haiti,Arabica,July Group,2012,350,340,0,10
Philippines,Robustica/Arabica,July Group,2012,177,2325,0,2
Tanzania,Arabica/Robusta,July Group,2012,1151,72,35,1062
Zambia,Arabica,July Group,2012,5,0,0,5
Cameroon,Robustica/Arabica,October Group,2012,371,72,47,324
Central African Republic,Robusta,October Group,2012,23,17,0,1
Colombia,Arabica,October Group,2012,9927,1514,1054,8842
Costa Rica,Arabica,October Group,2012,1823,423,125,1380
Côte d'Ivoire,Robusta,October Group,2012,1994,317,637,1739
Democratic Republic of Congo,Robustica/Arabica,October Group,2012,334,200,4,134
El Salvador,Arabica,October Group,2012,1240,277,80,1145
Equatorial Guinea,Robusta,October Group,2012,0,0,0,0
Ethiopia,Arabica,October Group,2012,6132,3299,1000,3166
Gabon,Robusta,October Group,2012,1,1,0,0
Ghana,Robusta,October Group,2012,21,2,3,20
Guatemala,Arabica/Robusta,October Group,2012,3763,360,16,3707
Guinea,Robusta,October Group,2012,234,50,15,189
Guyana,Robusta,October Group,2012,10,9,0,1
Honduras,Arabica,October Group,2012,4686,345,232,4340
India,Robustica/Arabica,October Group,2012,5403,1375,852,4859
Jamaica,Arabica,October Group,2012,24,9,0,15
Kenya,Arabica,October Group,2012,875,50,14,819
Lao People's Democratic Republic,Robusta,October Group,2012,541,150,0,391
Liberia,Robusta,October Group,2012,10,5,0,5
Mexico,Arabica/Robusta,October Group,2012,4327,2354,400,3353
Nepal,Arabica,October Group,2012,1,0,0,1
Nicaragua,Arabica,October Group,2012,1873,208,348,1980
Nigeria,Robusta,October Group,2012,41,40,0,1
Panama,Arabica,October Group,2012,116,67,10,49
Sierra Leone,Robusta,October Group,2012,61,5,2,56
Sri Lanka,Robustica/Arabica,October Group,2012,35,35,0,0
Thailand,Robustica/Arabica,October Group,2012,608,1130,10,113
Togo,Robusta,October Group,2012,84,0,9,83
Trinidad & Tobago,Robusta,October Group,2012,12,10,0,2
Uganda,Robustica/Arabica,October Group,2012,3914,216,603,3583
Venezuela,Arabica,October Group,2012,952,1650,0,2
Viet Nam,Robustica/Arabica,October Group,2012,23402,1825,2750,20665
Yemen,Arabica,October Group,2012,188,130,0,58
Angola,Robustica/Arabica,April Group,2013,35,30,105,5
Bolivia (Plurinational State of),Arabica,April Group,2013,120,52,0,68
Brazil,Arabica/Robusta,April Group,2013,54689,20085,15868,32752
Burundi,Arabica/Robusta,April Group,2013,163,2,5,159
Ecuador,Arabica/Robusta,April Group,2013,666,155,2,1210
Indonesia,Robustica/Arabica,April Group,2013,12901,4250,650,8701
Madagascar,Robusta,April Group,2013,584,410,10,174
Malawi,Arabica,April Group,2013,28,1,0,27
Papua New Guinea,Arabica/Robusta,April Group,2013,835,2,5,833
Paraguay,Arabica,April Group,2013,20,20,0,0
Peru,Arabica,April Group,2013,4106,250,82,3878
Rwanda,Arabica,April Group,2013,258,1,10,257
Timor-Leste,Arabica,April Group,2013,80,0,0,80
Zimbabwe,Arabica,April Group,2013,9,4,0,5
Congo,Robusta,July Group,2013,3,3,0,0
Cuba,Arabica,July Group,2013,107,220,0,11
Dominican Republic,Arabica/Robusta,July Group,2013,425,383,58,55
Haiti,Arabica,July Group,2013,345,340,0,5
Philippines,Robustica/Arabica,July Group,2013,186,2550,0,11
Tanzania,Arabica/Robusta,July Group,2013,811,73,52,750
Zambia,Arabica,July Group,2013,11,0,0,11
Cameroon,Robustica/Arabica,October Group,2013,404,73,22,332
Central African Republic,Robusta,October Group,2013,90,20,6,75
Colombia,Arabica,October Group,2013,12124,1617,1266,10842
Costa Rica,Arabica,October Group,2013,1552,335,145,1237
Côte d'Ivoire,Robusta,October Group,2013,2598,317,575,1702
Democratic Republic of Congo,Robustica/Arabica,October Group,2013,347,200,4,148
El Salvador,Arabica,October Group,2013,515,275,73,497
Equatorial Guinea,Robusta,October Group,2013,0,0,0,0
Ethiopia,Arabica,October Group,2013,6242,3365,667,3044
Gabon,Robusta,October Group,2013,0,1,0,0
Ghana,Robusta,October Group,2013,25,2,2,23
Guatemala,Arabica/Robusta,October Group,2013,3189,370,12,3121
Guinea,Robusta,October Group,2013,101,50,10,51
Guyana,Robusta,October Group,2013,13,9,0,12
Honduras,Arabica,October Group,2013,4583,350,233,4173
India,Robustica/Arabica,October Group,2013,5075,1400,1217,5095
Jamaica,Arabica,October Group,2013,20,9,0,11
Kenya,Arabica,October Group,2013,843,55,20,783
Lao People's Democratic Republic,Robusta,October Group,2013,544,150,0,394
Liberia,Robusta,October Group,2013,6,5,0,1
Mexico,Arabica/Robusta,October Group,2013,3916,2321,400,2457
Nepal,Arabica,October Group,2013,1,0,0,1
Nicaragua,Arabica,October Group,2013,2060,210,77,1823
Nigeria,Robusta,October Group,2013,41,40,0,1
Panama,Arabica,October Group,2013,113,67,10,48
Sierra Leone,Robusta,October Group,2013,32,5,2,27
Sri Lanka,Robustica/Arabica,October Group,2013,37,35,0,2
Thailand,Robustica/Arabica,October Group,2013,638,1200,5,26
Togo,Robusta,October Group,2013,172,0,10,134
Trinidad & Tobago,Robusta,October Group,2013,12,10,0,2
Uganda,Robustica/Arabica,October Group,2013,3633,221,718,3500
Venezuela,Arabica,October Group,2013,804,1650,0,4
Viet Nam,Robustica/Arabica,October Group,2013,27610,2000,3200,24902
Yemen,Arabica,October Group,2013,187,130,0,57
Angola,Robustica/Arabica,April Group,2014,39,30,105,9
Bolivia (Plurinational State of),Arabica,April Group,2014,100,54,0,46
Brazil,Arabica/Robusta,April Group,2014,53305,20333,17720,37782
Burundi,Arabica/Robusta,April Group,2014,248,2,7,246
Ecuador,Arabica/Robusta,April Group,2014,644,155,3,1089
Indonesia,Robustica/Arabica,April Group,2014,10946,4417,600,6679
Madagascar,Robusta,April Group,2014,501,390,10,111
Malawi,Arabica,April Group,2014,25,1,0,24
Papua New Guinea,Arabica/Robusta,April Group,2014,798,2,5,796
Paraguay,Arabica,April Group,2014,20,20,0,0
Peru,Arabica,April Group,2014,2883,250,60,2443
Rwanda,Arabica,April Group,2014,238,1,10,237
Timor-Leste,Arabica,April Group,2014,111,0,0,110
Zimbabwe,Arabica,April Group,2014,15,4,0,11
Congo,Robusta,July Group,2014,3,3,0,0
Cuba,Arabica,July Group,2014,101,220,0,11
Dominican Republic,Arabica/Robusta,July Group,2014,397,388,45,19
Haiti,Arabica,July Group,2014,343,340,0,3
Philippines,Robustica/Arabica,July Group,2014,193,2800,0,18
Tanzania,Arabica/Robusta,July Group,2014,753,77,39,678
Zambia,Arabica,July Group,2014,3,0,0,3
Cameroon,Robustica/Arabica,October Group,2014,483,75,20,398
Central African Republic,Robusta,October Group,2014,63,20,1,43
Colombia,Arabica,October Group,2014,13333,1665,1379,12281
Costa Rica,Arabica,October Group,2014,1475,381,125,1145
Côte d'Ivoire,Robusta,October Group,2014,1728,317,1153,1328
Democratic Republic of Congo,Robustica/Arabica,October Group,2014,335,200,3,135
El Salvador,Arabica,October Group,2014,665,280,19,595
Equatorial Guinea,Robusta,October Group,2014,0,0,0,0
Ethiopia,Arabica,October Group,2014,6383,3433,500,2872
Gabon,Robusta,October Group,2014,1,1,0,0
Ghana,Robusta,October Group,2014,35,2,2,33
Guatemala,Arabica/Robusta,October Group,2014,3310,380,10,2925
Guinea,Robusta,October Group,2014,165,50,10,115
Guyana,Robusta,October Group,2014,9,9,0,2
Honduras,Arabica,October Group,2014,5268,355,293,5020
India,Robustica/Arabica,October Group,2014,5450,1430,826,5115
Jamaica,Arabica,October Group,2014,21,9,0,12
Kenya,Arabica,October Group,2014,770,55,25,720
Lao People's Democratic Republic,Robusta,October Group,2014,552,150,0,402
Liberia,Robusta,October Group,2014,7,5,0,2
Mexico,Arabica/Robusta,October Group,2014,3636,2347,800,2503
Nepal,Arabica,October Group,2014,2,0,0,2
Nicaragua,Arabica,October Group,2014,1898,212,150,1810
Nigeria,Robusta,October Group,2014,43,40,0,3
Panama,Arabica,October Group,2014,106,67,8,43
Sierra Leone,Robusta,October Group,2014,46,5,2,41
Sri Lanka,Robustica/Arabica,October Group,2014,36,35,0,1
Thailand,Robustica/Arabica,October Group,2014,845,1250,17,384
Togo,Robusta,October Group,2014,143,0,47,183
Trinidad & Tobago,Robusta,October Group,2014,12,10,0,2
Uganda,Robustica/Arabica,October Group,2014,3744,229,630,3455
Venezuela,Arabica,October Group,2014,650,1650,0,0
Viet Nam,Robustica/Arabica,October Group,2014,27241,2200,3500,22035
Yemen,Arabica,October Group,2014,178,125,0,53
Angola,Robustica/Arabica,April Group,2015,41,30,105,11
Bolivia (Plurinational State of),Arabica,April Group,2015,84,55,0,29
Brazil,Arabica/Robusta,April Group,2015,52871,20508,12910,37473
Burundi,Arabica/Robusta,April Group,2015,269,2,7,269
Ecuador,Arabica/Robusta,April Group,2015,644,155,3,839
Indonesia,Robustica/Arabica,April Group,2015,12585,4550,450,7985
Madagascar,Robusta,April Group,2015,414,370,10,44
Malawi,Arabica,April Group,2015,21,1,0,20
Papua New Guinea,Arabica/Robusta,April Group,2015,712,2,5,710
Paraguay,Arabica,April Group,2015,20,20,0,0
Peru,Arabica,April Group,2015,3304,250,50,3064
Rwanda,Arabica,April Group,2015,293,1,10,292
Timor-Leste,Arabica,April Group,2015,59,0,0,59
Zimbabwe,Arabica,April Group,2015,14,4,0,10
Congo,Robusta,July Group,2015,3,3,0,0
Cuba,Arabica,July Group,2015,100,220,0,20
Dominican Republic,Arabica/Robusta,July Group,2015,400,388,35,20
Haiti,Arabica,July Group,2015,341,340,0,1
Philippines,Robustica/Arabica,July Group,2015,208,3000,0,8
Tanzania,Arabica/Robusta,July Group,2015,930,92,37,828
Zambia,Arabica,July Group,2015,4,0,0,4
Cameroon,Robustica/Arabica,October Group,2015,391,76,30,310
Central African Republic,Robusta,October Group,2015,100,20,0,80
Colombia,Arabica,October Group,2015,14009,1720,964,12302
Costa Rica,Arabica,October Group,2015,1440,449,75,995
Côte d'Ivoire,Robusta,October Group,2015,1289,317,1237,1543
Democratic Republic of Congo,Robustica/Arabica,October Group,2015,371,200,3,171
El Salvador,Arabica,October Group,2015,565,285,11,495
Equatorial Guinea,Robusta,October Group,2015,0,0,0,0
Ethiopia,Arabica,October Group,2015,6515,3501,578,3092
Gabon,Robusta,October Group,2015,1,1,0,0
Ghana,Robusta,October Group,2015,36,2,2,34
Guatemala,Arabica/Robusta,October Group,2015,3410,390,15,3020
Guinea,Robusta,October Group,2015,286,50,10,236
Guyana,Robusta,October Group,2015,11,9,0,2
Honduras,Arabica,October Group,2015,5786,365,186,5140
India,Robustica/Arabica,October Group,2015,5830,1450,1008,5861
Jamaica,Arabica,October Group,2015,20,9,0,11
Kenya,Arabica,October Group,2015,799,60,20,739
Lao People's Democratic Republic,Robusta,October Group,2015,535,150,0,385
Liberia,Robusta,October Group,2015,10,5,0,5
Mexico,Arabica/Robusta,October Group,2015,2772,2329,800,2180
Nepal,Arabica,October Group,2015,2,0,0,2
Nicaragua,Arabica,October Group,2015,2130,214,64,1943
Nigeria,Robusta,October Group,2015,41,40,0,1
Panama,Arabica,October Group,2015,127,67,4,60
Sierra Leone,Robusta,October Group,2015,46,5,2,41
Sri Lanka,Robustica/Arabica,October Group,2015,36,35,0,1
Thailand,Robustica/Arabica,October Group,2015,762,1300,8,301
Togo,Robusta,October Group,2015,81,0,6,73
Trinidad & Tobago,Robusta,October Group,2015,12,10,0,2
Uganda,Robustica/Arabica,October Group,2015,3650,234,690,3316
Venezuela,Arabica,October Group,2015,500,1650,0,0
Viet Nam,Robustica/Arabica,October Group,2015,31090,2300,5000,28790
Yemen,Arabica,October Group,2015,156,115,0,41
Angola,Robustica/Arabica,April Group,2016,45,30,105,15
Bolivia (Plurinational State of),Arabica,April Group,2016,78,57,0,21
Brazil,Arabica/Robusta,April Group,2016,56788,21225,7800,33491
Burundi,Arabica/Robusta,April Group,2016,196,2,5,194
Ecuador,Arabica/Robusta,April Group,2016,645,155,3,890
Indonesia,Robustica/Arabica,April Group,2016,11541,4650,500,6891
Madagascar,Robusta,April Group,2016,453,360,10,93
Malawi,Arabica,April Group,2016,20,1,0,19
