Countries,Type of Coffee,Crop Group,Crop Year,Total Production (x1000 60kg) bags,Domestic Consumption (x1000 60kg) bags,Gross Opening Stock (x1000 60kg) bags,Exports Crop Year in (x1000 60kg) bags
Paraguay,Arabica,April Group,1995,26,20,67,18
Peru,Arabica,April Group,1995,1871,200,160,1831
Rwanda,Arabica,April Group,1995,329,1,0,318
Timor-Leste,Arabica,April Group,1995,0,0,0,0
Zimbabwe,Arabica,April Group,1995,131,7,0,114
Congo,Robusta,July Group,1995,12,3,0,9
Cuba,Arabica,July Group,1995,285,194,116,123
Dominican Republic,Arabica/Robusta,July Group,1995,886,350,198,554
Haiti,Arabica,July Group,1995,514,330,27,172
Philippines,Robustica/Arabica,July Group,1995,850,810,1107,30
Tanzania,Arabica/Robusta,July Group,1995,897,14,87,935
Zambia,Arabica,July Group,1995,26,1,0,26
Cameroon,Robustica/Arabica,October Group,1995,660,100,120,505
Central African Republic,Robusta,October Group,1995,108,10,8,97
Colombia,Arabica,October Group,1995,12938,1359,4674,10785
Costa Rica,Arabica,October Group,1995,2844,375,309,2481
Côte d'Ivoire,Robusta,October Group,1995,2532,50,887,2900
Democratic Republic of Congo,Robustica/Arabica,October Group,1995,1098,200,101,915
El Salvador,Arabica,October Group,1995,2585,270,603,2256
Equatorial Guinea,Robusta,October Group,1995,2,0,0,2
Ethiopia,Arabica,October Group,1995,3165,1555,4185,1777
Gabon,Robusta,October Group,1995,2,1,1,1
Ghana,Robusta,October Group,1995,57,28,15,8
Guatemala,Arabica/Robusta,October Group,1995,4002,310,153,3713
Guinea,Robusta,October Group,1995,104,50,12,54
Guyana,Robusta,October Group,1995,0,0,0,0
Honduras,Arabica,October Group,1995,1909,161,329,2054
India,Robustica/Arabica,October Group,1995,4012,837,1295,3553
Jamaica,Arabica,October Group,1995,43,15,14,27
Kenya,Arabica,October Group,1995,1664,50,577,1895
Lao People's Democratic Republic,Robusta,October Group,1995,0,0,0,149
Liberia,Robusta,October Group,1995,5,5,0,0
Mexico,Arabica/Robusta,October Group,1995,5300,1179,899,4579
Nepal,Arabica,October Group,1995,0,0,0,0
Nicaragua,Arabica,October Group,1995,985,112,41,898
Nigeria,Robusta,October Group,1995,53,40,0,13
Panama,Arabica,October Group,1995,209,77,50,151
Sierra Leone,Robusta,October Group,1995,44,8,0,36
Sri Lanka,Robustica/Arabica,October Group,1995,36,20,5,17
Thailand,Robustica/Arabica,October Group,1995,1317,417,80,893
Togo,Robusta,October Group,1995,84,1,1,84
Trinidad & Tobago,Robusta,October Group,1995,18,14,0,4
Uganda,Robustica/Arabica,October Group,1995,3244,80,2520,4214
Venezuela,Arabica,October Group,1995,1467,962,250,454
Viet Nam,Robustica/Arabica,October Group,1995,3970,282,158,3679
Yemen,Arabica,October Group,1995,0,0,0,51
Angola,Robustica/Arabica,April Group,1996,71,20,140,51
Bolivia (Plurinational State of),Arabica,April Group,1996,125,32,14,105
Brazil,Arabica/Robusta,April Group,1996,29197,11000,26361,17260
Burundi,Arabica/Robusta,April Group,1996,401,2,89,186
Ecuador,Arabica/Robusta,April Group,1996,1993,300,200,1513
Indonesia,Robustica/Arabica,April Group,1996,8221,1486,167,6772
Madagascar,Robusta,April Group,1996,849,167,2,667
Malawi,Arabica,April Group,1996,49,2,13,58
Papua New Guinea,Arabica/Robusta,April Group,1996,1089,2,40,1082
Paraguay,Arabica,April Group,1996,31,20,55,21
Peru,Arabica,April Group,1996,1806,200,0,1528
Rwanda,Arabica,April Group,1996,293,1,11,288
Timor-Leste,Arabica,April Group,1996,0,0,0,0
Zimbabwe,Arabica,April Group,1996,174,4,10,180
Congo,Robusta,July Group,1996,14,3,0,11
Cuba,Arabica,July Group,1996,366,189,84,114
Dominican Republic,Arabica/Robusta,July Group,1996,519,325,180,340
Haiti,Arabica,July Group,1996,428,330,39,113
Philippines,Robustica/Arabica,July Group,1996,890,831,1117,28
Tanzania,Arabica/Robusta,July Group,1996,764,17,35,768
Zambia,Arabica,July Group,1996,33,1,0,32
Cameroon,Robustica/Arabica,October Group,1996,1432,100,175,1376
Central African Republic,Robusta,October Group,1996,208,10,9,201
Colombia,Arabica,October Group,1996,10779,1343,5468,11176
Costa Rica,Arabica,October Group,1996,2222,375,297,2065
Côte d'Ivoire,Robusta,October Group,1996,4859,50,469,3905
Democratic Republic of Congo,Robustica/Arabica,October Group,1996,795,200,85,592
El Salvador,Arabica,October Group,1996,2534,230,663,2838
Equatorial Guinea,Robusta,October Group,1996,1,0,0,1
Ethiopia,Arabica,October Group,1996,3407,1637,4018,1853
Gabon,Robusta,October Group,1996,1,1,1,1
Ghana,Robusta,October Group,1996,32,3,36,28
Guatemala,Arabica/Robusta,October Group,1996,4525,300,132,4224
Guinea,Robusta,October Group,1996,148,50,12,104
Guyana,Robusta,October Group,1996,0,0,0,0
Honduras,Arabica,October Group,1996,2004,168,23,1825
India,Robustica/Arabica,October Group,1996,3417,838,917,2476
Jamaica,Arabica,October Group,1996,54,18,15,27
Kenya,Arabica,October Group,1996,1247,50,296,1389
Lao People's Democratic Republic,Robusta,October Group,1996,0,0,0,119
Liberia,Robusta,October Group,1996,5,5,0,0
Mexico,Arabica/Robusta,October Group,1996,5110,1235,524,4384
Nepal,Arabica,October Group,1996,0,0,0,0
Nicaragua,Arabica,October Group,1996,793,95,16,702
Nigeria,Robusta,October Group,1996,46,40,0,6
Panama,Arabica,October Group,1996,211,77,31,118
Sierra Leone,Robusta,October Group,1996,41,8,0,33
Sri Lanka,Robustica/Arabica,October Group,1996,37,20,4,20
Thailand,Robustica/Arabica,October Group,1996,1404,333,87,1103
Togo,Robusta,October Group,1996,291,1,1,290
Trinidad & Tobago,Robusta,October Group,1996,18,14,0,4
Uganda,Robustica/Arabica,October Group,1996,3419,80,1470,4237
Venezuela,Arabica,October Group,1996,1206,1003,300,184
Viet Nam,Robustica/Arabica,October Group,1996,5752,298,167,5422
Yemen,Arabica,October Group,1996,0,0,0,70
Angola,Robustica/Arabica,April Group,1997,64,40,140,54
Bolivia (Plurinational State of),Arabica,April Group,1997,141,33,2,109
Brazil,Arabica/Robusta,April Group,1997,26148,11500,27298,15352
Burundi,Arabica/Robusta,April Group,1997,250,2,302,546
Ecuador,Arabica/Robusta,April Group,1997,1191,300,380,1111
Indonesia,Robustica/Arabica,April Group,1997,7621,1532,129,5509
Madagascar,Robusta,April Group,1997,624,167,17,433
Malawi,Arabica,April Group,1997,61,2,2,58
Papua New Guinea,Arabica/Robusta,April Group,1997,1074,2,45,1079
Paraguay,Arabica,April Group,1997,49,20,45,34
Peru,Arabica,April Group,1997,1930,200,78,1710
Rwanda,Arabica,April Group,1997,193,3,15,204
Timor-Leste,Arabica,April Group,1997,0,0,0,0
Zimbabwe,Arabica,April Group,1997,130,4,0,126
Congo,Robusta,July Group,1997,3,3,0,0
Cuba,Arabica,July Group,1997,300,195,147,112
Dominican Republic,Arabica/Robusta,July Group,1997,941,325,34,405
Haiti,Arabica,July Group,1997,432,330,25,105
Philippines,Robustica/Arabica,July Group,1997,935,853,1148,37
Tanzania,Arabica/Robusta,July Group,1997,624,17,15,606
Zambia,Arabica,July Group,1997,38,1,0,38
Cameroon,Robustica/Arabica,October Group,1997,889,100,131,787
Central African Republic,Robusta,October Group,1997,114,10,6,107
Colombia,Arabica,October Group,1997,12122,1328,3728,10911
Costa Rica,Arabica,October Group,1997,2617,375,79,2158
Côte d'Ivoire,Robusta,October Group,1997,4164,50,1373,5049
Democratic Republic of Congo,Robustica/Arabica,October Group,1997,811,200,87,601
El Salvador,Arabica,October Group,1997,2175,192,129,1885
Equatorial Guinea,Robusta,October Group,1997,2,0,0,2
Ethiopia,Arabica,October Group,1997,3057,1724,3935,2090
Gabon,Robusta,October Group,1997,3,1,1,2
Ghana,Robusta,October Group,1997,27,3,37,18
Guatemala,Arabica/Robusta,October Group,1997,4219,300,132,3890
Guinea,Robusta,October Group,1997,172,50,6,122
Guyana,Robusta,October Group,1997,0,0,0,0
Honduras,Arabica,October Group,1997,2564,161,34,2299
India,Robustica/Arabica,October Group,1997,4109,839,1020,3685
Jamaica,Arabica,October Group,1997,47,20,24,20
Kenya,Arabica,October Group,1997,882,50,103,806
Lao People's Democratic Republic,Robusta,October Group,1997,0,0,0,111
Liberia,Robusta,October Group,1997,5,5,0,0
Mexico,Arabica/Robusta,October Group,1997,4802,1201,208,3883
Nepal,Arabica,October Group,1997,0,0,0,0
Nicaragua,Arabica,October Group,1997,1084,123,12,956
Nigeria,Robusta,October Group,1997,45,40,0,5
Panama,Arabica,October Group,1997,217,81,47,142
Sierra Leone,Robusta,October Group,1997,50,5,0,45
Sri Lanka,Robustica/Arabica,October Group,1997,58,20,1,20
Thailand,Robustica/Arabica,October Group,1997,1293,390,54,785
Togo,Robusta,October Group,1997,221,1,0,178
Trinidad & Tobago,Robusta,October Group,1997,19,14,0,5
Uganda,Robustica/Arabica,October Group,1997,3440,101,572,3032
Venezuela,Arabica,October Group,1997,951,1046,319,80
Viet Nam,Robustica/Arabica,October Group,1997,6979,314,200,6615
Yemen,Arabica,October Group,1997,0,0,0,73
Angola,Robustica/Arabica,April Group,1998,85,30,110,55
Bolivia (Plurinational State of),Arabica,April Group,1998,138,33,1,101
Brazil,Arabica/Robusta,April Group,1998,36761,12200,26594,21085
Burundi,Arabica/Robusta,April Group,1998,492,2,4,392
Ecuador,Arabica/Robusta,April Group,1998,1206,300,160,966
Indonesia,Robustica/Arabica,April Group,1998,7296,1578,709,5719
Madagascar,Robusta,April Group,1998,992,167,40,823
Malawi,Arabica,April Group,1998,64,2,3,62
Papua New Guinea,Arabica/Robusta,April Group,1998,1352,1,38,1342
Paraguay,Arabica,April Group,1998,32,20,40,16
Peru,Arabica,April Group,1998,2102,200,98,1912
Rwanda,Arabica,April Group,1998,223,3,2,219
Timor-Leste,Arabica,April Group,1998,0,0,0,0
Zimbabwe,Arabica,April Group,1998,149,4,0,135
Congo,Robusta,July Group,1998,3,3,0,0
Cuba,Arabica,July Group,1998,280,200,140,104
Dominican Republic,Arabica/Robusta,July Group,1998,487,325,245,152
Haiti,Arabica,July Group,1998,439,330,22,112
Philippines,Robustica/Arabica,July Group,1998,677,810,1193,11
Tanzania,Arabica/Robusta,July Group,1998,739,17,16,725
Zambia,Arabica,July Group,1998,62,1,0,61
Cameroon,Robustica/Arabica,October Group,1998,1114,100,133,1027
Central African Republic,Robusta,October Group,1998,215,19,4,194
Colombia,Arabica,October Group,1998,10868,1312,3611,10292
Costa Rica,Arabica,October Group,1998,2445,375,163,2092
Côte d'Ivoire,Robusta,October Group,1998,1992,50,438,2264
Democratic Republic of Congo,Robustica/Arabica,October Group,1998,738,200,98,542
El Salvador,Arabica,October Group,1998,2055,192,227,1812
Equatorial Guinea,Robusta,October Group,1998,1,0,0,1
Ethiopia,Arabica,October Group,1998,2928,1816,3178,1757
Gabon,Robusta,October Group,1998,4,1,1,3
Ghana,Robusta,October Group,1998,54,1,44,87
Guatemala,Arabica/Robusta,October Group,1998,4893,300,161,4593
